title,heading,paragraph
How to Remove Lint from Clothes: 14+ Easy Methods,Use a lint roller.,"Use a lint roller. You can find them in the laundry department of a supermarket, as well as in fabric stores and pet stores. Peel the wrapper off the tube part, and roll it across the garment. Use and up-and-down motion. As you continue to roll, you will notice that the lint roller is become less tacky. When this happens, simply peel off the sticky sheet to reveal a fresh sticky underneath. Keep rolling and removing sheets until there is no more lint."
How to Remove Lint from Clothes: 14+ Easy Methods,Make a homemade lint roller.,"Make a homemade lint roller. You will need a roll of wide, packaging tape and a rolling pin. Unroll a little bit of tape, and place the end against one of the ends of the rolling pin. Make sure that the sticky side of the tape is facing you, and the smooth side is facing the rolling pin. Carefully wrap the tape around the rolling pin in a spiral, like a candy cane, making sure to overlap each turn. When you reach the other end of the rolling pin, cut the tape off. It should hold together by itself, but it if doesn't, you can use a small piece of tape to stick it down to the pin. To use this, simply place the rolling pin on your garment. Hold it by the handles, and roll it up and down until the lint is gone."
How to Remove Lint from Clothes: 14+ Easy Methods,"Roll some wide, packaging tape around your hand.","Roll some wide, packaging tape around your hand. Cut a piece of wide tape that is a little more than twice the width of your hand. Hold out your hand with your fingers closed together. Wrap the tape, sticky-side-out around your fingers, and overlap the edges. Lightly pat the affected area with your fingers. When the tape stops being sticky, simply rotate the tape around your fingers until the dirty side is facing you. Continue patting the garment with the fresh side of the tape."
How to Remove Lint from Clothes: 14+ Easy Methods,Use a strip of tape.,"Use a strip of tape. Find some wide tape, and cut a piece that is a few inches long. Place the tape, sticky-side-down, onto the affected area. Make sure that the tape is going in the same direction as the weave of the fabric (usually up-and-down). Rub your finger across the tape to smooth it down, then pull it off. The wider the tape is, the more area you will cover. Try to find something that is about 2 inches (5.08 centimeters) wide."
How to Remove Lint from Clothes: 14+ Easy Methods,Consider an electric lint shaver.,"Consider an electric lint shaver. This is a battery-powered device that you can glide on to your clothes to take care of the lint. Turn on the shaver, and run it gently across the fabric. When you are done, open up the lint compartment, and toss the shaved lint into the trash."
How to Remove Lint from Clothes: 14+ Easy Methods,"Rub a pumice stone or a ""sweater stone"" against sweaters and fleece.","Rub a pumice stone or a ""sweater stone"" against sweaters and fleece. This can also remove pilling. Make sure that you are going with the weave of the fabric, and not against it. Also, try not to rub too hard, or go over the same area too much. The pumice stone will take off the top layer of the fabric. If you keep going over the same spot, you may get a hole."
How to Remove Lint from Clothes: 14+ Easy Methods,Use Velcro to rub lint away.,"Use Velcro to rub lint away. Purchase some Velcro and cut a piece that is about the width of your hand. Find the rough side with the hooks and set aside the soft, fuzzy side. Rub the Velcro downward against the garment. If the lint gathers at the bottom of the garment, then pick it off using some tape or a lint roller."
How to Remove Lint from Clothes: 14+ Easy Methods,Use a clean shaving razor to shave off pills.,"Use a clean shaving razor to shave off pills. This is especially effective for lint that is stuck deep into the fabric. Take a shaving razor, and place it near the top of the garment. Gently drag the razor down the fabric a few inches. Lift it off and tap off any excess lint. Continue pulling the razor down the fabric, stopping every few inches to tap the lint off. If you do not have an electric lint shaver, a more inexpensive option would be to use a single-blade razor. Hold the razor at such an angle to skim the fabric surface and get rid of the lint, but be careful not to cut into the cloth and ruin the garment."
How to Remove Lint from Clothes: 14+ Easy Methods,Use a damp sponge or scouring pad to buff away lint.,"Use a damp sponge or scouring pad to buff away lint. Wet a sponge or scouring pad with water, and squeeze it to get rid of the excess moisture. Gently rub the rough side of the sponge or scouring pad against the fabric. Use a downward motion, and work in small sections at a time.[1] X Research source"
How to Remove Lint from Clothes: 14+ Easy Methods,Use a lint brush to buff lint away.,"Use a lint brush to buff lint away. They look like an ordinary hairbrush, except that instead of bristles, they have a fuzzy pad instead. The pad feels similar to the soft side of Velcro. Simply rub the lint brush in a single direction across the fabric. Start from the top of the garment, and work your way downward. If there is any lint leftover when you reach the bottom hem, you can pull it off using a lint roller or a piece of tape."
How to Remove Lint from Clothes: 14+ Easy Methods,Wipe lint off with a dryer sheet.,"Wipe lint off with a dryer sheet. The dryer sheet will also get rid of static, which attracts lint in the first place."
How to Remove Lint from Clothes: 14+ Easy Methods,Rub away lint and pet hairs with a rubber glove.,"Rub away lint and pet hairs with a rubber glove. Put on a rubber glove, like the one you would use to wash dishes. Run your hand downward across the fabric towards the hem. The lint and pet hairs will stick to the glove. As you continue to rub the fabric down, the lint and pet hairs will gather in one place. You can wipe them off using the glove, or you can pick them off with a piece of tape or a lint roller.[2] X Research source"
How to Remove Lint from Clothes: 14+ Easy Methods,Use an old nylon or pantyhose.,"Use an old nylon or pantyhose. Stick your hand into a nylon sock or a pair of pantyhose, like you are putting on a glove. Make sure that your fingers are touching the toe part. Run your hand lightly across the fabric. The lint will stick to the nylon and pantyhose."
How to Remove Lint from Clothes: 14+ Easy Methods,Wash the clothes,"Wash the clothes again, but without detergent. If you take your clothes out of the washer and see that there is lint on them, put them back in and wash them again. Do not use detergent for this second wash. After the cycle is done, take the clothes out, and shake them out to loosen any leftover lint. Dry the clothes in the dryer as you normally would.[3] X Research source"
How to Remove Lint from Clothes: 14+ Easy Methods,"Know what causes lint, and wash those items separately.","Know what causes lint, and wash those items separately. Some items, such as chenille, towels, and flannel are more likely to shed lint in the washer than others.[4] X Research source Once you know what the culprit is, wash it separately the next time you do laundry. This will keep lint from transferring to the rest of your clothes in the wash.[5] X Research source"
How to Remove Lint from Clothes: 14+ Easy Methods,"Know what items attract lint, and wash them separately.","Know what items attract lint, and wash them separately. Some fabrics, such as corduroy and velvet, tend to attract lint more than other fabrics. It might be a good idea to wash them separately, or at least apart from fabrics you know shed a lot of lint.[6] X Research source If you cannot wash the items separately, try to turn the items that attract lint inside out before you toss them into the wash.[7] X Research source"
How to Remove Lint from Clothes: 14+ Easy Methods,Add  cup (60 milliliters) of white vinegar to the washing machine.,Add  cup (60 milliliters) of white vinegar to the washing machine. The vinegar will help remove lint from clothing. It will also help keep the lint from sticking as much. Vinegar will also help deodorize laundry.
How to Remove Lint from Clothes: 14+ Easy Methods,Check and empty pockets before washing the garment.,"Check and empty pockets before washing the garment. Items, such as tissues, will deteriorate in the washer and dryer, and cause even more lint. Be sure to check the pockets and take out any scraps of tissue, fabric, or paper.[8] X Research source"
How to Remove Lint from Clothes: 14+ Easy Methods,Try to de-lint items before washing them.,"Try to de-lint items before washing them. If something has a lot of lint on it, try to remove the lint using a lint roller before you toss it into the wash. If you don't remove the lint, it will just transfer to everything else.[9] X Research source"
How to Remove Lint from Clothes: 14+ Easy Methods,Wipe down the inside of your washing machine after washing a lint-shedding item.,"Wipe down the inside of your washing machine after washing a lint-shedding item. Whenever you wash something you know sheds a lot of lint, wipe down the drum of your washer with a towel. If you don't do this, any residual lint may get onto the rest of your clothes during the next wash.[10] X Research source"
How to Remove Lint from Clothes: 14+ Easy Methods,"Shake items after washing, before you put them into the dryer.","Shake items after washing, before you put them into the dryer. Take each garment, and give it a good shake before you toss it into the dryer. This will help knock off any lint that may have gotten onto the fabric in the washer.[11] X Research source"
How to Remove Lint from Clothes: 14+ Easy Methods,Remember to use dryer sheets in the dryer.,"Remember to use dryer sheets in the dryer. You will only need half a sheet for a small load, and a full-sized sheet for a regular load. The dryer sheet will help reduce static, which is what causes lint to stick to clothing in the first place.[12] X Research source"
How to Remove Lint from Clothes: 14+ Easy Methods,Clean the lint trap in your dryer after each cycle.,"Clean the lint trap in your dryer after each cycle. When you open your dryer, there should be a tray inside the door, or just inside the machine. If you can take out the try, do so, and tap the lint off into a trashcan. If you can't take the tray out, scoop the lint off with your fingers. If you don't do this, that lint may get onto your clothes the next time you dry them.[13] X Research source"
How to Remove Lint from Clothes: 14+ Easy Methods,Try to air-dry instead.,"Try to air-dry instead. Dryers catch a lot of lint, and if they are not clean, they can transfer the lint to your clothes. Air-drying clothing reduces lint. The wind may also help knock off any specks of lint. You can dry your clothes on a clothing line, or on a clothing rack.[14] X Research source The sunlight and fresh air will also help kill any odor-causing bacteria, leaving your clothes smelling nice and fresh."
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Rest for at least 30 minutes.,"Rest for at least 30 minutes. Lie or sit down and take your weight off of your legs and feet. Lay them on a soft object and avoid moving them for as long as needed. Depending on your soreness, you might want to rest for longer than 30 minutes, even up to a whole day. Consider stopping the activity that caused your soreness, or putting rest increments in between sessions of the activity. If your foot is incredibly sore, immobilize and avoid touching it for the first few hours. Elevate your ankles above your heart. This makes it a little more difficult for blood to flow to your sore area, reducing the risk of swelling. Rest in a location where others will not disturb you, like a chair in your living room or your bed. If your ankle continues to hurt, apply the RICE method as outlined in Part 2."
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Examine your sore ankles.,"Examine your sore ankles. Does anything look or feel different? Take note of swelling, discoloration, asymmetries between both feet, abnormal movement, or pain. Slight swelling normally accompanies ankle soreness but should not be debilitating. If you notice anything more than soreness and slight swelling--examples are listed below--record it and contact a doctor. Any of these sign may warrant an ankle x ray: Rapid and sudden swelling that was not expected Discoloration Literal skin sores, bruises, open wounds, or infections Asymmetries between both feet or legs Abnormal joint movement A different quality of pain than soreness (sharp, burning, cold, tingling) A large temperature difference in your foot or ankle and rest of body Lack of sensation in your foot or ankle"
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Determine if you need further medical help.,"Determine if you need further medical help. Most often, sore ankles are the result of overuse: walking or running too much. However, ankle soreness, swelling, and other pain can be the result of more serious medical conditions. If any of the below apply to your sore ankles, contact a doctor: [2] X Research source You are more than 20 weeks pregnant, and your ankles swelled rapidly and excessively. Sudden swelling of the ankles might indicate preeclampsia, or high blood pressure. Preeclampsia requires immediate medical attention. There is soreness in only one of your ankles, though you used both equally. This can be a sign that something is wrong with your one ankle beyond overuse. The soreness persists or worsens over time. Ankle soreness and foot pain are listed as a side effect of a medication you are taking. Ankle soreness and foot pain are listed as symptoms of a more serious medical condition you experience. This includes diabetes. You may need to use crutches until you're able to walk with normal gait."
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Use the RICE treatment method.,"Use the RICE treatment method. RICE stands for Rest, Ice, Compression, Elevation. This is the standard method for treating a sore joint. Make sure to rest the joint and use crutches if you are not able to bear weight. Apply ice to the joint to limit swelling.[3] X Expert Source Catherine Cheung, DPMBoard Certified Podiatrist Expert Interview. 21 April 2020. Applying ice is recommended for 15 to 20 minutes every two to three hours for the first 48 hours or until swelling is improved. You can use a sealed bag of ice, chemical ice pack, frozen peas, frozen meat, or any other cold object. If you leave ice on 1 location for more than 30 minutes, you risk longterm damage to your body part. Putting a towel between your skin and the ice can make it more comfortable, but will decrease the benefits of icing. The smaller the window of time is between onset of soreness and application of ice, the sooner the soreness will be alleviated. Use a compressive device such as an elastic bandage to limit swelling and inflammation. Elevate the ankle above the heart to increase blood and lymphatic drainage back to the heart.[4] X Expert Source Catherine Cheung, DPMBoard Certified Podiatrist Expert Interview. 21 April 2020. [5] X Trustworthy Source Cleveland Clinic Educational website from one of the world's leading hospitals Go to source Also the use of NSAIDS is warranted to reduce inflammation."
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Consider applying heat.,"Consider applying heat. Wrap your sore ankle with a warm object for 10-15 minutes once a day to increase blood circulation and decrease joint stiffness. Warmth can increase muscle flexibility and relaxation.[6] X Research source You can use a warm water bottle, towel, or electric blanket. If you use a hot object, you risk burning or irritating your skin in addition to irritating damaged muscles around your ankle. Placing a towel between your skin and the warm object can make it more comfortable and better regulate the heat of the object."
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Massage your sore ankle gently to relax the muscles around it.,"Massage your sore ankle gently to relax the muscles around it. Also try massaging the rest of your foot and calf to relax the other parts of your body that might be contributing to your sore ankle. Ask someone else to massage your feet, but give yourself a massage if no one else can do so. Place a tennis ball underneath your sore foot and roll it around. Apply your weight gently so that you do not slip and fall, but enough to mimic a massage.[7] X Research source Know the physiology of the foot well before performing deep and intense massages."
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Stretch your ankle up and down.,"Stretch your ankle up and down. While sitting, use the muscles in your shin and top of foot to make a right angle and bring your toes upward. Count to 10. Then lower your foot to make a straight line with your shin and top of foot. Count to 10. Repeat 10 times in 1 day."
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Stretch your ankle in.,"Stretch your ankle in. While sitting, curl your foot inwards so that your outer ankle is close to the ground and you can see the side of your big toe. This stretches out your ankle. Count to 10. Repeat 10 times in 1 day.<"
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Stretch your ankle out.,"Stretch your ankle out. While sitting, curl your foot outwards so that your big toe and heel are touching the ground, but you are using your ankle and outer foot to lift your pinky toe off the ground. This exercises your ankle muscles. Count to 10. Repeat 10 times in 1 day."
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Stretch with stairs.,"Stretch with stairs. Stand on the edge of a stair, drop your ankles down a few inches to stretch the back of your foot and calf. Hold this position for a count of 10. Slowly and steadily rise back up to your starting position. Repeat 10 times in 1 day."
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Create a plan for reducing or treating the cause of your sore ankles now.,"Create a plan for reducing or treating the cause of your sore ankles now.[8] X Trustworthy Source Arthritis Foundation Main organization devoted to arthritis support and education Go to source [9] X Trustworthy Source University of California San Francisco Health Center Research hospital associated with UCSF, a leading medical university, providing innovative patient care and public health resources Go to source If you have been walking or exercising too much, you can do lighter exercise or more slowly increase your exercise load to avoid soreness. Use the exercises listed in this article even when your ankles are no longer sore to strengthen your foot muscles. If the cause is medical, work out a treatment plan with your doctor. This may mean losing weight, taking medication, or changing your lifestyle."
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,Warm up before playing sports or exercising.,"Warm up before playing sports or exercising.[10] X Expert Source Catherine Cheung, DPMBoard Certified Podiatrist Expert Interview. 21 April 2020. Stretching and warming up can greatly reduce muscle injury and soreness. Ask your trainer or coach for specific warm-ups geared towards your sport.[11] X Research source Warm-ups usually consist of light exercises focused on your ankles, not literally warming up your ankle with heat. However, some exercise regimens devised by experts do involve temperature control."
How to Soothe a Sore Ankle: 13 Steps (with Pictures) - wikiHow,"Take other measures throughout your day to ensure strong, healthy ankles.","Take other measures throughout your day to ensure strong, healthy ankles. Wear comfortable and supportive shoes that do not exceed 1 inch (2.5 cm) in heel height nor irritate your feet. Consider high tops for activities that may strain your ankles. While sitting, have good posture and place your feet flat on the floor. Do not cross your ankles or bend them awkwardly while seated. Sleep with your legs and ankles relaxed in a relatively straight fashion; your ankles should not be bent or stretched. Exercise regularly so that intense periods of exercise do not induce ankle soreness. Consume proper nutrients in your diet to help your bones and muscles stay strong; lack of calcium, vitamins, or other minerals can cause greater muscle stiffness and bone weakness. Do stretching, strengthening, and proprioceptive exercises. Consider getting your ankle taped."
How to Field a Ground Ball: 13 Steps (with Pictures) - wikiHow,"Assume your ""baseball ready"" position.","Assume your ""baseball ready"" position. Before the pitch is even thrown, you should be standing a ready position. Stand on the balls of your feet with your knees slightly bent and your glove in front of you. Focus on your attention on the batter. As the batter strikes the ball, keep your eye on it the entire time."
How to Field a Ground Ball: 13 Steps (with Pictures) - wikiHow,Be ready to move if the ball comes toward you.,"Be ready to move if the ball comes toward you. You'll only have a few seconds to react once the ball is hit, so you've got to be able to reflexively move toward the ball if its yours to field. Some fielders find it helpful to sway from side to side a bit as they wait for the hit. Shifting your weight back and forth can help you feel ready to spring toward the ball quickly."
How to Field a Ground Ball: 13 Steps (with Pictures) - wikiHow,Move in front of the ball.,"Move in front of the ball. When the ball is hit, run as fast as you can to get in front of it. The angle at which you run is dependent on how fast the ball is moving.[1] X Research source Here are a few different scenarios: If it's a slow moving ball, you might want to charge it. This means running toward the ball at an angle that will help you reach it as quickly as possible. If the ball is hit hard and low, it will respond violently to imperfections on the ground. Reaching the ball as quickly as possible is a good way to prevent it from bouncing away from you or at you in a harmful, unexpected way. If it's a very fast moving ball, it's more important to run at an angle that will give you time to field the ball with ease, rather than having to dive or stretch your glove at an odd angle. Instead of running toward the ball, run to one side or the other so you can get in position to have the ball coming right at your glove. With practice, you'll be able to discern what approach is right for what grounder speed. Timing is everything when it comes to fielding grounders."
How to Field a Ground Ball: 13 Steps (with Pictures) - wikiHow,Decide to field it on a long hop or a short hop.,"Decide to field it on a long hop or a short hop. Grounders can be difficult to field because each hop they take can make them bounce in an unpredictable direction. Your best bet is to try to field a grounder on as long a hop as possible, because you'll know just where to position your glove to catch it. Fielding a grounder on a short hop is more difficult, because you have less time to react to the ball's bounce. If you let it bounce right in front of your glove, it could easily hop over your shoulder or to your left or right, forcing you to fumble.[2] X Research source Try to time your fielding so that the ball won't hop right in front of your glove. Catch it after it has hopped several feet away, so you have time to move toward it and catch it. If the ball does hop right in front of you, you'll need to have very quick reflexes to catch it. Keep your body in front of the ball. If it skips off your glove, you might be able to stop it with your foot or another body part - anything to keep it from getting past you!"
How to Field a Ground Ball: 13 Steps (with Pictures) - wikiHow,Angle your body to field it more easily.,"Angle your body to field it more easily. It's most comfortable to field the ball on the same side of your body as your glove hand. If your right hand is your glove hand, try to position yourself so that the ball is moving slightly toward your right side. If your left hand is your glove hand, position yourself so you can catch it on that side. You should still be fairly square with the ball, however. Try to not to put yourself in the position of needing to dive or stretch your arm to catch it. If the ball is traveling extremely fast, you won't always have time to get in the ideal fielding position. You may need to dive, stretch, or backhand it to make the catch."
How to Field a Ground Ball: 13 Steps (with Pictures) - wikiHow,Bend your knees and drop your behind to the ground.,"Bend your knees and drop your behind to the ground. When the ball is high, it's time to get low. If you don't, you stand a very good chance of having it fly between your legs - the most embarrassing fielder's error. Drop into a crouch that'll let you move quickly if you need to catch the ball on a short bounce."
How to Field a Ground Ball: 13 Steps (with Pictures) - wikiHow,Extend your glove in front of you.,"Extend your glove in front of you. Here's where hand-eye coordination comes into play. Extend your glove toward the ball, keeping your elbow slightly bent. Position your glove so that the ball will roll or hop right into it. A common mistake fielders make is not keeping their glove down. It is easier to bring the glove up than to get it down quickly, so keeping your glove in a low position provides better coverage.[3] X Research source"
How to Field a Ground Ball: 13 Steps (with Pictures) - wikiHow,Keep your other hand close.,"Keep your other hand close. Make sure it's not in the path of the ball, but it should be close enough that you can easily employ it if need be. Two hands are better than one, so your other hand should be ready to trap the ball when it meets your glove.[4] X Research source"
How to Field a Ground Ball: 13 Steps (with Pictures) - wikiHow,Watch the ball into your glove.,"Watch the ball into your glove. The number one rule in baseball, keep your eye on the ball, applies as much to fielding as it does to hitting. Make sure to watch the ball until it's safely nestled in your glove, and be ready to move if it does something unexpected."
How to Field a Ground Ball: 13 Steps (with Pictures) - wikiHow,Trap it with your other hand.,"Trap it with your other hand. When the ball is in your glove, close your glove tight and immediately trap the ball with your opposite hand. This puts you in the perfect position to throw the ball where it needs to go as quickly as possible.[5] X Research source"
